iter	Passed	Remaining
0	154	154342
1	155	77444
2	155	51749
3	156	38888
4	156	31172
5	157	26027
6	157	22360
7	158	19607
8	158	17463
9	159	15747
10	159	14342
11	159	13172
12	160	12182
13	160	11333
14	161	10600
15	161	9960
16	162	9393
17	162	8887
18	163	8435
19	163	8027
20	164	7659
21	164	7324
22	165	7019
23	165	6738
24	166	6480
25	166	6241
26	167	6020
27	167	5815
28	167	5624
29	168	5452
30	169	5289
31	169	5134
32	170	4988
33	170	4850
34	171	4721
35	171	4599
36	172	4482
37	172	4373
38	173	4270
39	173	4171
40	174	4080
41	175	3991
42	175	3915
43	176	3840
44	177	3763
45	177	3690
46	178	3617
47	178	3548
48	179	3481
49	179	3418
50	180	3356
51	180	3296
52	181	3239
53	181	3183
54	182	3130
55	182	3080
56	183	3033
57	183	2986
58	184	2941
59	184	2897
60	185	2853
61	185	2811
62	186	2770
63	186	2731
64	187	2692
65	187	2655
66	188	2619
67	188	2584
68	189	2550
69	189	2517
70	189	2485
71	190	2455
72	191	2426
73	191	2397
74	192	2368
75	192	2340
76	192	2312
77	193	2286
78	193	2259
79	194	2234
80	194	2209
81	195	2185
82	195	2158
83	195	2135
84	196	2113
85	196	2091
86	197	2069
87	197	2049
88	198	2030
89	198	2011
90	199	1991
91	199	1972
92	200	1953
93	200	1934
94	201	1916
95	201	1899
96	202	1881
97	202	1864
98	202	1847
99	203	1831
100	203	1814
101	204	1799
102	204	1783
103	205	1768
104	205	1755
105	206	1741
106	206	1727
107	207	1712
108	207	1699
109	208	1685
110	208	1671
111	209	1658
112	209	1645
113	210	1632
114	210	1620
115	211	1607
116	211	1595
117	211	1583
118	212	1572
119	212	1561
120	213	1551
121	214	1540
122	214	1529
123	214	1518
124	215	1508
125	215	1497
126	216	1486
127	216	1476
128	217	1466
129	217	1456
130	218	1446
131	218	1436
132	218	1427
133	219	1417
134	219	1408
135	220	1399
136	220	1390
137	221	1382
138	221	1373
139	222	1365
140	222	1356
